toolName,toolShort,toolTiny
Твердотельный лазер,YAG,Y
Газовый лазер,CO2,C
Сублимация,SUB,S
УФ-печать,UVP,U
Санд-бласт,SNB,B
Шелкография,SLK,L
Тампопечать,TRM,T
